game_id,game_date,away,home,home_win,state_policy,performance_cutoff,elo_diff,elo_probability_raw,bt_logit,trend_diff,record_logit_diff,cumulative_margin_diff,recent_margin_diff,turnover_advantage_diff,rebound_advantage_diff,foul_advantage_diff,rest_advantage,home_rest_days,away_rest_days,back_to_back_advantage,games_in_4_days_advantage,games_in_6_days_advantage,home_games_before,away_games_before
0022500094,2025-10-24,MIA,MEM,0,sequential_daily,2025-10-23,0.22249459556223145,0.625348477793544,0.0,0.0,0.44628710262841975,10.0,10.0,2.0,-7.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0
0022500095,2025-10-24,SAS,NOP,0,sequential_daily,2025-10-23,0.11489705080362626,0.5657569666520978,0.0,0.0,-0.44628710262841975,-39.0,-39.0,1.0,-8.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0
0022500096,2025-10-24,WAS,DAL,0,sequential_daily,2025-10-23,0.1600259889011369,0.5910900602777628,0.0,0.0,0.0,-20.0,-20.0,4.0,-26.0,-2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0
0022500097,2025-10-24,GSW,POR,1,sequential_daily,2025-10-23,0.10868896610222918,0.5622418713248641,0.0,-0.03080410519507737,-0.6286086594223741,-12.0,-11.969195894804923,0.5,8.5,9.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
0022500098,2025-10-24,UTA,SAC,1,sequential_daily,2025-10-23,0.14123409114824995,0.5805918620323275,0.0,0.0,-0.44628710262841975,-25.0,-25.0,1.0,-18.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0
0022500099,2025-10-24,PHX,LAC,1,sequential_daily,2025-10-23,0.14123409114824995,0.5805918620323275,0.0,0.0,-0.44628710262841975,-25.0,-25.0,1.0,-18.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0
0022500100,2025-10-25,CHI,ORL,0,sequential_daily,2025-10-24,0.16204421194418217,0.5922128064691513,0.0,0.06160821039015447,-0.22314355131420993,-4.0,-4.061608210390155,7.0,-1.0,-5.0,-2.0,1.0,3.0,-1.0,-1.0,-1.0,2.0,1.0
0022500101,2025-10-25,OKC,ATL,0,sequential_daily,2025-10-24,0.13063863263208986,0.5746396772309879,0.0,-0.14631949967661706,-0.4054651081081642,-11.5,-11.353680500323383,-2.0,0.5,5.0,-1.0,1.0,2.0,-1.0,-1.0,0.0,2.0,2.0
0022500102,2025-10-25,CHA,PHI,1,sequential_daily,2025-10-24,0.16851976057218793,0.5958086342367369,0.0,0.0,0.0,-18.0,-18.0,-3.0,-19.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0
0022500103,2025-10-25,IND,MEM,1,sequential_daily,2025-10-24,0.181683647448163,0.6030864509792618,0.0,0.292638999353235,0.22314355131420985,-7.0,-7.292638999353235,-1.0,-11.5,8.5,-1.0,1.0,2.0,-1.0,-1.0,-1.0,2.0,1.0
0022500104,2025-10-25,PHX,DEN,1,sequential_daily,2025-10-24,0.1888227569115128,0.6070146197627173,0.0,-0.23873181526184872,-0.22314355131420985,5.5,5.738731815261849,-3.0,-5.0,-1.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
