Set,Games,Log Loss,Brier,AUC,Accuracy,Home Win Rate,Mean P
"April (frozen, PRIMARY, Elo-only)",96,0.4644,0.1498,0.867,78.1%,59.4%,0.549
March (Elo-only selection period),239,0.5066,0.1659,0.823,77.0%,60.3%,0.551
April (sequential backtest),96,0.4646,0.1499,0.866,78.1%,59.4%,0.552
