feature,month,n,mean,std,q10,q90,max_abs_z_vs_train
elo_diff,2025-10,80,0.20582970096339187,0.031159574794863122,0.17100886207051225,0.25940926524617774,0.5328349882535864
elo_diff,2025-11,219,0.20076530335183645,0.12232065648945765,0.05397154918205547,0.3689644087141857,1.8664102384284544
elo_diff,2025-12,197,0.18782670448998906,0.18563520063250877,-0.06955706990555836,0.42962897250485177,2.452244263096846
elo_diff,2026-01,233,0.2002606180862157,0.21135922542900307,-0.08287515162424322,0.47997481460380675,3.3554038243432527
elo_diff,2026-02,166,0.2102711585550951,0.22295748183455927,-0.07017875403051108,0.4949890335739642,3.51421773943047
elo_diff,2026-03,239,0.2166709362652446,0.30720386234120894,-0.1924036607473805,0.5910089593681356,4.386509774416438
elo_diff,2026-04,96,0.22267900632630058,0.33895319015644887,-0.2538498195874834,0.7132759667348156,4.4925771816717575
bt_logit,2025-10,80,0.24985631963313476,0.2550200082659502,0.0,0.6312522155142406,1.068883287147094
bt_logit,2025-11,219,0.3371304054157192,0.40967053425370303,-0.21485527523584658,0.8867545814980649,2.1843639229115848
bt_logit,2025-12,197,0.21045080204396466,0.5367195053386171,-0.532204190842376,0.9275412686288455,2.5417484273739834
bt_logit,2026-01,233,0.24875904721072215,0.5522535670615031,-0.49427949359847995,0.9582700426854529,3.159953305002908
bt_logit,2026-02,166,0.24460694153318172,0.5181267862325969,-0.39427303587482765,0.8934974874484134,2.8390913744941244
bt_logit,2026-03,239,0.22548152937110133,0.6624643054225793,-0.6319512514492882,1.0490386163396572,3.574031422220217
bt_logit,2026-04,96,0.26927096925709765,0.7085901360657038,-0.6901845644554196,1.2494652197172966,3.315011278612743
trend_diff,2025-10,80,-0.021351410092402885,0.4913310642766986,-0.6473526374330343,0.6249328974883802,0.5938247970575131
trend_diff,2025-11,219,0.1497344352324232,2.3045075749607964,-2.229670545604015,3.100613515694203,3.060233180648664
trend_diff,2025-12,197,0.062017801951475396,3.554169449735348,-5.246073274858376,4.242031618501951,2.988021037633377
trend_diff,2026-01,233,-0.22843269222353174,4.0163226052201715,-5.481350935667043,5.004049287534642,3.23900532046647
trend_diff,2026-02,166,-0.370493704891781,3.9170227256251495,-5.603939796761514,4.667766891628684,3.009687501658705
trend_diff,2026-03,239,0.17364745031570958,4.278328536332887,-5.156376049752603,5.217547169739101,4.410114006680056
trend_diff,2026-04,96,0.07579686287078109,4.032079835250223,-5.609244130558029,5.320407433944105,3.377549548839885
