calibration_bin,games,mean_probability,observed_home_win_rate,minimum_probability,maximum_probability
"(0.0558, 0.235]",30,0.1445940609325054,0.06666666666666667,0.056768590276744156,0.2299591401896641
"(0.235, 0.373]",30,0.2891491082208845,0.2,0.23668511186335978,0.371402373633233
"(0.373, 0.473]",30,0.4191574160875706,0.5333333333333333,0.37523665019112806,0.4724391548075914
"(0.473, 0.571]",30,0.5335114454631582,0.7333333333333333,0.4761639151801632,0.5712016309739504
"(0.571, 0.689]",29,0.631768925262463,0.7241379310344828,0.5727252723578365,0.6872399860394476
"(0.689, 0.757]",30,0.7183228841678976,0.8333333333333334,0.68910049676032,0.7538068012752911
"(0.757, 0.825]",30,0.7907356901361634,0.8666666666666667,0.7610129630627992,0.824348940722709
"(0.825, 0.962]",30,0.8796454237539494,0.8666666666666667,0.826080375493488,0.9624162577075903
