origin,policy,selected_elo_architecture,selected_rank_architecture,selected_blend_architecture,inner_elo_log_loss,inner_rank_log_loss,inner_blend_log_loss,blend_elo_weight,blend_temperature,calibrator_alpha,calibrator_beta,fold_games,log_loss_elo,log_loss_blend,log_loss_calibrated_elo,brier_elo,brier_blend,brier_calibrated_elo
2026-02-01,frozen_block,responsive,responsive,conservative,0.6769143604073624,0.662333818872226,0.668880794498575,1.0,1.4028856813124235,0.0488859852471209,0.64353175158433,55,0.6042873767985079,0.6135994991308255,0.6242396887120857,0.20602334572616812,0.21050845729749473,0.21600945813581354
2026-02-08,frozen_block,responsive,responsive,conservative,0.6725967307708415,0.6604090356073422,0.6650940330923917,1.0,1.437512620610099,0.02298996954785827,0.6549521665018557,35,0.6432689818983237,0.6410016374962488,0.6484926973163108,0.22437075473390816,0.22356770281282837,0.22790109461859814
2026-02-15,frozen_block,responsive,responsive,conservative,0.6714165349386149,0.6597295664438051,0.6637953045919279,1.0,1.4464075600956685,0.0053370035461690855,0.6599955468589476,25,0.5386495354996347,0.5594609367567149,0.5743832124866421,0.18049800917283604,0.18734177545038452,0.19408894452226716
2026-02-22,frozen_block,responsive,responsive,conservative,0.6660082014522648,0.6547413964231794,0.6579384860270037,1.0,1.5576122751695798,-0.01454598382750536,0.6791517439639394,51,0.5998160550108684,0.6078638585933731,0.6151432743230821,0.20742703087950085,0.20944518651500169,0.2129843437034099
2026-03-01,frozen_block,conservative,responsive,conservative,0.6561909728067962,0.649079222207898,0.649475216653692,1.0,1.5766075324560065,-0.03131616278451411,0.6985637570426021,53,0.5200059932626858,0.5535296040995857,0.5455719172625338,0.16818543601881034,0.18266998414016328,0.17915681127263952
2026-03-08,frozen_block,conservative,responsive,conservative,0.6512271761416731,0.6449570074292814,0.6453451989300517,1.0,1.5842694958478827,-0.014209353453026366,0.70945202489073,56,0.5408885585456588,0.5691022014601961,0.5605228078081655,0.1823900078556274,0.19199191318068895,0.18872744383870194
2026-03-15,frozen_block,conservative,responsive,lower_bt_shrinkage,0.6419937994504658,0.6368156155066467,0.6363889040902122,1.0,1.3342692295230179,0.006977282514991042,0.7331941551934629,56,0.4799791181919502,0.5029519325551368,0.5049052725206958,0.15524956747017526,0.16291312524456678,0.16386892186149885
2026-03-22,frozen_block,conservative,balanced,lower_bt_shrinkage,0.6311436021917822,0.6292240817559128,0.6255510035781683,1.0,1.304352126093269,0.0026321265382532252,0.7640861484889188,50,0.47927891124744026,0.5019483807215243,0.49608563663640615,0.15614035193312067,0.1633238162633005,0.16099569725899876
2026-03-29,frozen_block,conservative,balanced,lower_bt_shrinkage,0.6206208966038339,0.6210068212149465,0.6155185359346691,1.0,1.2644271280896067,0.013526448233154974,0.7921105112016116,51,0.46682281913914153,0.48923352051944385,0.4847028504820728,0.15005780684072778,0.15782756575157764,0.15575005922186072
2026-04-05,frozen_block,conservative,balanced,lower_bt_shrinkage,0.6130983462026471,0.6151266098611269,0.6080212839299338,1.0,1.2186185398060059,0.013840099161968406,0.8130594253659285,54,0.4685372816867069,0.4892263163729376,0.4866708759147927,0.15087442897689787,0.1578498727721456,0.15710920094116917
2026-04-12,frozen_block,conservative,conservative,lower_bt_shrinkage,0.6053543162328859,0.6077726418713101,0.6004062400053499,0.956905864918992,1.2174647696508198,0.028527907261674937,0.8342016602800857,15,0.5032672306189564,0.5018422067406957,0.4968298595323704,0.17060492426086554,0.16825284852156028,0.16680318218222098
