calibration_bin,games,mean_probability,observed_home_win_rate,minimum_probability,maximum_probability
"(0.157, 0.317]",12,0.2542216881171896,0.08333333333333333,0.1575712366917606,0.30713998579593804
"(0.317, 0.437]",12,0.3785864236207533,0.16666666666666666,0.31838415838210216,0.4340025628472342
"(0.437, 0.512]",12,0.46590559090971145,0.4166666666666667,0.4381002968517945,0.5085735140173906
"(0.512, 0.631]",12,0.5712071779929137,0.5833333333333334,0.5134621246488296,0.6283436295906413
"(0.631, 0.707]",12,0.6698692542341839,0.8333333333333334,0.6329568218981084,0.7038727524098877
"(0.707, 0.783]",12,0.7446794337769748,0.8333333333333334,0.7119315490714966,0.7782730613742344
"(0.783, 0.863]",12,0.8333195028658267,0.9166666666666666,0.796760796497046,0.862508086743581
"(0.863, 0.948]",12,0.8962485069839973,0.9166666666666666,0.8639446478334947,0.9482422360525375
