architecture,elo_k,elo_hfa,elo_mov,bt_c,trend_half_life_days,elo_model_c,rank_model_c,elo_log_loss,elo_brier,rank_log_loss,rank_brier,blend_log_loss,blend_brier
conservative,7.5,55.0,log,0.1,60.0,10.0,0.1,0.5065900312308793,0.16588048136759967,0.5293222387621427,0.17446271743758635,0.5061862421611626,0.16410380984803405
hfa_75,10.0,75.0,log,0.15,45.0,100.0,0.1,0.5090901835418551,0.16668654925695955,0.5291287695685651,0.17418630570066843,0.5083729200619467,0.16485364885586673
balanced,10.0,65.0,log,0.15,45.0,100.0,0.1,0.5091391265815801,0.1666736638119057,0.5291287695685651,0.17418630570066843,0.5084163997236583,0.16486358835242326
lower_bt_shrinkage,10.0,65.0,log,0.3,45.0,100.0,0.3,0.5091391265815801,0.1666736638119057,0.5310984932361381,0.17477159586607216,0.509914514737747,0.16542295508097543
responsive,15.0,65.0,log,0.25,30.0,10.0,0.1,0.5147090704425366,0.16865251675320722,0.5349675450055226,0.17646995826827971,0.5142818486782101,0.16722466284875084
