stage,model,features,log_loss,brier,auc,accuracy,games,home_win_rate,mean_probability,delta_log_loss_vs_constant,delta_brier_vs_constant
B0,Training-period constant home prior,(none),0.6805803943893557,0.24372705003095535,0.5,0.602510460251046,239,0.602510460251046,0.5374301675977653,0.0,0.0
B1,Record-only logistic,record_logit_diff,0.5488991592357942,0.1816703492001993,0.8232456140350877,0.7698744769874477,239,0.602510460251046,0.5452429129642005,-0.13168123515356145,-0.06205670083075604
B2,Record + cumulative margin,"record_logit_diff, cumulative_margin_diff",0.5520420760252565,0.18308467133687187,0.8216374269005848,0.7866108786610879,239,0.602510460251046,0.5494800409369062,-0.12853831836409924,-0.06064237869408348
B3,Elo component,elo_diff,0.5097029516272912,0.1668713359144855,0.8233918128654971,0.7740585774058577,239,0.602510460251046,0.5498218818602376,-0.1708774427620645,-0.07685571411646985
B4,Bradley-Terry component,bt_logit,0.5349691122803414,0.17683584615971856,0.8262426900584795,0.7489539748953975,239,0.602510460251046,0.5238765258536088,-0.1456112821090143,-0.06689120387123679
B5,Bradley-Terry + trend,"bt_logit, trend_diff",0.5293222387621427,0.17446271743758635,0.8304093567251462,0.7573221757322176,239,0.602510460251046,0.5250310007801369,-0.151258155627213,-0.069264332593369
B6,Rich linear challenger,"record_logit_diff, cumulative_margin_diff, trend_diff, rest_advantage, turnover_advantage_diff, rebound_advantage_diff",0.5503826867913265,0.18255936139683818,0.816593567251462,0.7656903765690377,239,0.602510460251046,0.5495796238187243,-0.13019770759802918,-0.06116768863411717
B7,Selected logistic-stacked Elo + BT/trend blend,elo_diff | bt_logit + trend_diff,0.5061862421611626,0.16410380984803405,0.8292397660818713,0.7615062761506276,239,0.602510460251046,0.6025104653063349,-0.1743941522281931,-0.0796232401829213
