model_type,architecture,elo_k,trend_half_life_days,logistic_c,fold,validation_log_loss,validation_brier,validation_auc,validation_accuracy,validation_games,validation_home_win_rate,validation_mean_probability,validation_correct_games,elo_weight
direct_logistic,k10_hl20,10.0,20.0,0.01,fold1_jan,0.6542910530448024,0.23102235870084753,0.6464525765496639,0.6137339055793991,233,0.5579399141630901,0.5472366063800734,143,
direct_logistic,k10_hl20,10.0,20.0,0.01,fold2_feb,0.6180756649466181,0.21359427458284824,0.7801573426573427,0.7048192771084337,166,0.46987951807228917,0.5538777587555374,117,
direct_logistic,k10_hl20,10.0,20.0,0.03,fold1_jan,0.6576258133359703,0.23230521177599048,0.6459297983569828,0.6137339055793991,233,0.5579399141630901,0.546436837911824,143,
direct_logistic,k10_hl20,10.0,20.0,0.03,fold2_feb,0.6069771161528175,0.20841581444068763,0.7814685314685315,0.7168674698795181,166,0.46987951807228917,0.5545208410037402,119,
direct_logistic,k10_hl20,10.0,20.0,0.1,fold1_jan,0.6616757040537408,0.23373866455654213,0.6463778939507095,0.6223175965665236,233,0.5579399141630901,0.547473642655841,145,
direct_logistic,k10_hl20,10.0,20.0,0.1,fold2_feb,0.6020761451997872,0.2061999632064543,0.7813228438228438,0.7168674698795181,166,0.46987951807228917,0.5570110472245128,119,
direct_logistic,k10_hl20,10.0,20.0,0.3,fold1_jan,0.6644320124873857,0.2346286264000478,0.6472740851381628,0.6137339055793991,233,0.5579399141630901,0.5496020803681038,143,
direct_logistic,k10_hl20,10.0,20.0,0.3,fold2_feb,0.600772477616848,0.2056893986644337,0.7791375291375291,0.7168674698795181,166,0.46987951807228917,0.5600027700119693,119,
direct_logistic,k10_hl20,10.0,20.0,1.0,fold1_jan,0.6668301070772293,0.23541072604090382,0.6486930545182973,0.6223175965665236,233,0.5579399141630901,0.5515313757870188,145,
direct_logistic,k10_hl20,10.0,20.0,1.0,fold2_feb,0.6007134325357937,0.20573356694135195,0.7762237762237763,0.6927710843373494,166,0.46987951807228917,0.5621979454450267,115,
direct_logistic,k10_hl20,10.0,20.0,3.0,fold1_jan,0.6680310995384253,0.23580971945825188,0.647647498132935,0.630901287553648,233,0.5579399141630901,0.5523883294672336,147,
direct_logistic,k10_hl20,10.0,20.0,3.0,fold2_feb,0.6008350374590554,0.2058171083920599,0.7740384615384615,0.6927710843373494,166,0.46987951807228917,0.5630684682181957,115,
direct_logistic,k10_hl20,10.0,20.0,10.0,fold1_jan,0.6685552204948214,0.23598495568972427,0.6480955937266617,0.630901287553648,233,0.5579399141630901,0.552739841221207,147,
direct_logistic,k10_hl20,10.0,20.0,10.0,fold2_feb,0.6009029067624704,0.20585886786156068,0.7741841491841491,0.6927710843373494,166,0.46987951807228917,0.5634095630388273,115,
blend_platt_challenger,k10_hl20,10.0,20.0,,fold1_jan,0.6636438900367658,0.23476802852705403,0.6415982076176252,0.6180257510729614,233,0.5579399141630901,0.5413907715557459,144,0.2
blend_platt_challenger,k10_hl20,10.0,20.0,,fold2_feb,0.6066159026558613,0.2080918004588553,0.7763694638694639,0.7108433734939759,166,0.46987951807228917,0.5479116620702024,118,0.2
