architecture,elo_k,elo_hfa,elo_mov,bt_c,trend_half_life_days,trend_short_games,elo_model_c,rank_model_c,coef_elo_logit,coef_rank_logit,intercept,log_loss,log_loss_deploy_temperature_floor,brier,auc,accuracy
hfa_75,10.0,75.0,log,0.15,45.0,10,100.0,0.1,0.35925296071565577,0.6407470392843442,0.32536299895224763,0.4880258253508303,0.5083729200619467,0.16485364885586673,0.8300438596491228,0.7698744769874477
balanced,10.0,65.0,log,0.15,45.0,10,100.0,0.1,0.3584515992605028,0.6415484007394971,0.3254414031592212,0.4880505097374666,0.5084163997142737,0.1648635883485737,0.8298245614035087,0.7698744769874477
lower_bt_shrinkage,10.0,65.0,log,0.3,45.0,10,100.0,0.3,0.3668857674109609,0.6331142325890391,0.3135149418042201,0.4882001857604936,0.5099145147278351,0.16542295507697677,0.8301900584795321,0.7698744769874477
conservative,7.5,55.0,log,0.1,60.0,12,10.0,0.1,0.39765587062352586,0.6023441293764742,0.3347604843419738,0.48858752346947437,0.5061862421611626,0.16410380984803405,0.8292397660818713,0.7615062761506276
responsive,15.0,65.0,log,0.25,30.0,8,10.0,0.1,0.36777641460303684,0.6322235853969631,0.310234550111268,0.4906573660860741,0.5142818486782101,0.16722466284955487,0.8276315789473684,0.7740585774058577
