component,feature,standardized_coefficient,training_mean,training_scale,raw_unit_coefficient
elo,elo_diff,0.9265157021145293,0.19238044183890368,0.34151965455795497,2.7129205881686733
elo,(intercept),0.24151143036744485,,,
rank,bt_logit,0.8037364850988546,0.25373418704799144,0.5323095844808791,1.5099042146360704
rank,trend_diff,0.14417900434177539,0.027148073138065814,4.806711766856061,0.02999535052963638
rank,(intercept),0.23352102217156723,,,
