month,games,home_wins,home_win_rate,average_home_margin
2025-10,80,47,0.5875,2.375
2025-11,219,121,0.5525114155251142,1.7625570776255708
2025-12,197,105,0.5329949238578681,1.4923857868020305
2026-01,233,130,0.5579399141630901,1.4248927038626609
2026-02,166,78,0.46987951807228917,-0.9518072289156626
2026-03,239,144,0.602510460251046,3.5313807531380754
2026-04,96,57,0.59375,2.59375
