stage,model,features,log_loss,brier,auc,accuracy,games,home_win_rate,mean_probability,correct_games,delta_log_loss_vs_constant,delta_brier_vs_constant
B0,Training-period constant home prior,(none),0.6805803943893557,0.24372705003095535,0.5,0.602510460251046,239,0.602510460251046,0.5374301675977653,144,0.0,0.0
B1,Record-only logistic,record_logit_diff,0.5488991592357942,0.1816703492001993,0.8232456140350877,0.7698744769874477,239,0.602510460251046,0.5452429129642005,184,-0.13168123515356145,-0.06205670083075604
B2,Record + cumulative margin,"record_logit_diff, cumulative_margin_diff",0.5520420760252565,0.18308467133687187,0.8216374269005848,0.7866108786610879,239,0.602510460251046,0.5494800409369062,188,-0.12853831836409924,-0.06064237869408348
B3,Elo component,elo_diff,0.5064149014970105,0.16618261415814573,0.8241228070175439,0.7656903765690377,239,0.602510460251046,0.5492664011961509,183,-0.17416549289234518,-0.07754443587280963
B4,Bradley-Terry component,bt_logit,0.5365814394797946,0.17729022207109496,0.8267543859649122,0.7531380753138075,239,0.602510460251046,0.5270836117912238,180,-0.14399895490956105,-0.06643682795986039
B5,Bradley-Terry + trend,"bt_logit, trend_diff",0.532665137852901,0.17564581305302107,0.8301900584795322,0.7656903765690377,239,0.602510460251046,0.5275632762130251,183,-0.14791525653645465,-0.06808123697793428
B6,Rich linear challenger,"record_logit_diff, cumulative_margin_diff, trend_diff, rest_advantage, turnover_advantage_diff, rebound_advantage_diff",0.549756595753048,0.1823219989854381,0.8164473684210526,0.7656903765690377,239,0.602510460251046,0.5494837549104455,183,-0.13082379863630766,-0.061405051045517245
B7,Direct logistic on elo_diff + bt_logit + trend_diff,"elo_diff, bt_logit, trend_diff",0.5024725490666454,0.164886473893055,0.8260233918128655,0.7656903765690377,239,0.602510460251046,0.5499088499856668,183,-0.1781078453227103,-0.07884057613790035
B8,Blend challenger (if available),elo_diff | bt_logit + trend_diff,0.5242070778570176,0.17238409308006786,0.8297514619883042,0.7782426778242678,239,0.602510460251046,0.5323773590722571,186,-0.1563733165323381,-0.07134295695088749
