model_type,architecture,elo_k,trend_half_life_days,logistic_c,mean_validation_log_loss,mean_validation_brier,mean_validation_auc,mean_validation_accuracy
direct_logistic,k10_hl20,10.0,20.0,0.1,0.631875924626764,0.2199693138814982,0.7138503688867767,0.6695925332230208
direct_logistic,k10_hl20,10.0,20.0,0.03,0.6323014647443939,0.22036051310833904,0.7136991649127571,0.6653006877294586
direct_logistic,k10_hl45,10.0,45.0,0.1,0.6325080373527068,0.2203017879477555,0.7123940582071651,0.6665804850302497
direct_logistic,k10_hl20,10.0,20.0,0.3,0.6326022450521169,0.22015901253224074,0.713205807137846,0.6653006877294586
direct_logistic,k10_hl45,10.0,45.0,0.03,0.6326590415147545,0.2205608701465845,0.7124295607305315,0.6687264077770309
direct_logistic,k10_hl90,10.0,90.0,0.1,0.6327434102976903,0.22041312538114963,0.7114568481680132,0.6665804850302497
direct_logistic,k10_hl90,10.0,90.0,0.03,0.6328340518719542,0.2206442372440443,0.7117965974155295,0.6665804850302497
direct_logistic,k10_hl45,10.0,45.0,0.3,0.6333594643318649,0.2205480721687245,0.7111838606377441,0.6704586586690109
direct_logistic,k10_hl90,10.0,90.0,0.3,0.6336192626786283,0.22067042085201405,0.7107357650440174,0.6704586586690109
direct_logistic,k10_hl20,10.0,20.0,1.0,0.6337717698065115,0.22057214649112789,0.7124584153710367,0.6575443404519365
direct_logistic,k10_hl20,10.0,20.0,3.0,0.6344330684987404,0.2208134139251559,0.7108429798356982,0.6618361859454986
direct_logistic,k10_hl45,10.0,45.0,1.0,0.6345435561586705,0.22096921282790605,0.7095402776834816,0.6575443404519365
direct_logistic,k10_hl20,10.0,20.0,10.0,0.6347290636286459,0.22092191177564247,0.7111398714554054,0.6618361859454986
direct_logistic,k10_hl90,10.0,90.0,1.0,0.6348005854495233,0.22109068979466856,0.7089054755923688,0.6553984177051554
blend_platt_challenger,k10_hl20,10.0,20.0,,0.6351298963463136,0.22142991449295468,0.7089838357435445,0.6644345622834686
blend_platt_challenger,k10_hl45,10.0,45.0,,0.6351433704588175,0.22148716762696546,0.7078764681920021,0.6644345622834686
blend_platt_challenger,k10_hl90,10.0,90.0,,0.6351731160023583,0.221506663953631,0.7067188879082084,0.6635684368374787
direct_logistic,k10_hl45,10.0,45.0,3.0,0.6351947713995314,0.22120719673314568,0.7094074614705683,0.6532524949583742
direct_logistic,k10_hl90,10.0,90.0,3.0,0.6354462743848026,0.2213264737681811,0.7082872224862515,0.6553984177051554
direct_logistic,k10_hl45,10.0,45.0,10.0,0.635484346083127,0.22131342126553738,0.7088565358589631,0.6532524949583742
blend_platt_challenger,k20_hl20,20.0,20.0,,0.635639713939725,0.22178136279303592,0.7079792982098807,0.6644345622834686
direct_logistic,k10_hl90,10.0,90.0,10.0,0.635733000100743,0.22143155070210335,0.7077007943512796,0.6575443404519365
direct_logistic,k20_hl20,20.0,20.0,0.03,0.6358742453031936,0.22224411616161588,0.7069392581528504,0.6592765913439165
blend_platt_challenger,k20_hl45,20.0,45.0,,0.6358909892987592,0.2219526982864203,0.7050140595650305,0.6605563886447077
blend_platt_challenger,k20_hl90,20.0,90.0,,0.6359992639657086,0.22200931402108393,0.704089720958653,0.6584104658979265
blend_platt_challenger,k30_hl20,30.0,20.0,,0.6360817867131414,0.22206852912175393,0.7062891800755878,0.6635684368374787
direct_logistic,k10_hl20,10.0,20.0,0.01,0.6361833589957102,0.2223083166418479,0.7133049596035033,0.6592765913439165
direct_logistic,k10_hl45,10.0,45.0,0.01,0.6363483983639175,0.22240072474984596,0.7120390329734989,0.6592765913439165
direct_logistic,k20_hl45,20.0,45.0,0.03,0.6363674538776152,0.2224872871629106,0.7065193099780478,0.6592765913439165
direct_logistic,k10_hl90,10.0,90.0,0.01,0.6364735821030814,0.2224599860316604,0.7113705671351302,0.6592765913439165
blend_platt_challenger,k30_hl45,30.0,45.0,,0.636498918197703,0.22231940669621286,0.7029003157037138,0.6553984177051554
direct_logistic,k20_hl90,20.0,90.0,0.03,0.6365628998994664,0.22257671041899807,0.7061403806549438,0.6614225140906975
direct_logistic,k20_hl20,20.0,20.0,0.1,0.6366181576953043,0.2225839196320059,0.7030380824676941,0.648960649464812
blend_platt_challenger,k30_hl90,30.0,90.0,,0.636653675488923,0.22239780665841852,0.7020151571729243,0.6532524949583742
direct_logistic,k20_hl45,20.0,45.0,0.1,0.6372413134024761,0.2228786786037602,0.701977815873447,0.6519726976575831
direct_logistic,k20_hl90,20.0,90.0,0.1,0.6374492118195935,0.2229709103437846,0.7014176963812887,0.649826774910802
direct_logistic,k30_hl20,30.0,20.0,0.03,0.6386632155736249,0.223671478361668,0.7008478172313124,0.6511065722115932
direct_logistic,k20_hl20,20.0,20.0,0.3,0.6389437472377181,0.2236966676911678,0.6975869599656007,0.6511065722115932
direct_logistic,k30_hl45,30.0,45.0,0.03,0.639087140072168,0.22386791838475997,0.6995800518251974,0.648960649464812
direct_logistic,k30_hl90,30.0,90.0,0.03,0.6392372401384903,0.2239339928261614,0.6996118767963428,0.649826774910802
direct_logistic,k20_hl20,20.0,20.0,0.01,0.6394789071190667,0.2239477107066613,0.709365169620024,0.6429365530792699
direct_logistic,k20_hl45,20.0,45.0,0.3,0.6395134892586085,0.22395979914570982,0.6961477640482494,0.645948601272041
direct_logistic,k20_hl90,20.0,90.0,0.3,0.639685316777715,0.2240345699371828,0.6958545499807636,0.6438026785252599
direct_logistic,k20_hl45,20.0,45.0,0.01,0.6397664887172754,0.22409077991632045,0.7073989521805055,0.6493743213196133
direct_logistic,k20_hl90,20.0,90.0,0.01,0.6399102716479297,0.22415802444603497,0.707397113404395,0.6493743213196133
direct_logistic,k30_hl20,30.0,20.0,0.1,0.6400681917798475,0.2243655622510266,0.6945433611695746,0.6476808521640209
direct_logistic,k30_hl45,30.0,45.0,0.1,0.6405054783351543,0.2245584233676277,0.6931990743883947,0.6528388231035731
direct_logistic,k30_hl90,30.0,90.0,0.1,0.6406326031063019,0.22461155377885736,0.6935277909792473,0.6528388231035731
direct_logistic,k20_hl20,20.0,20.0,1.0,0.6412969758397299,0.22480574532150804,0.6944686785706203,0.645948601272041
direct_logistic,k20_hl45,20.0,45.0,1.0,0.6417719612159511,0.2250230938515412,0.6932792733156811,0.6429365530792699
direct_logistic,k30_hl20,30.0,20.0,0.01,0.6418919324561012,0.22514742873008992,0.7035032928236812,0.6562645431511454
direct_logistic,k20_hl90,20.0,90.0,1.0,0.641903895108877,0.225080054655523,0.6921700669880282,0.6429365530792699
direct_logistic,k30_hl45,30.0,45.0,0.01,0.6421804791926942,0.22528463900875317,0.703047842125512,0.6511065722115932
direct_logistic,k30_hl90,30.0,90.0,0.01,0.6423059193946721,0.22534232607441268,0.7033000373412995,0.6399245048864988
direct_logistic,k20_hl20,20.0,20.0,3.0,0.6424052786951506,0.22532128914861704,0.6933986523185554,0.645948601272041
direct_logistic,k30_hl20,30.0,20.0,0.3,0.6427274614021199,0.2256461005322969,0.6893278848982732,0.6528388231035731
direct_logistic,k20_hl45,20.0,45.0,3.0,0.6428363887630208,0.22551810577173137,0.6920935456129631,0.6438026785252599
direct_logistic,k20_hl20,20.0,20.0,10.0,0.6428699139180075,0.22553615892860437,0.6919943931473058,0.645948601272041
direct_logistic,k20_hl90,20.0,90.0,3.0,0.6429511254323534,0.22556753723104714,0.691469776178514,0.6407906303324888
direct_logistic,k30_hl45,30.0,45.0,0.3,0.6430740703507183,0.2257951258583925,0.6888889831850997,0.6528388231035731
direct_logistic,k30_hl90,30.0,90.0,0.3,0.6431582620592913,0.2258295933417455,0.6893633874216398,0.649826774910802
direct_logistic,k20_hl45,20.0,45.0,10.0,0.6432834518418299,0.22572481914024728,0.6914642598501821,0.6438026785252599
direct_logistic,k20_hl90,20.0,90.0,10.0,0.6433913977888189,0.22577129191866124,0.6902614173852037,0.6438026785252599
direct_logistic,k30_hl20,30.0,20.0,1.0,0.6449392137088388,0.22669351230513904,0.6842991151243578,0.6631547649826774
direct_logistic,k30_hl45,30.0,45.0,1.0,0.6452206731672054,0.22681477748318668,0.6839440898906919,0.6571306685971353
direct_logistic,k30_hl90,30.0,90.0,1.0,0.645277185290882,0.2268384347671099,0.6845268404734424,0.6571306685971353
direct_logistic,k30_hl20,30.0,20.0,3.0,0.6458736535742844,0.22713138631222518,0.6822135186819653,0.6601427167899063
direct_logistic,k30_hl45,30.0,45.0,3.0,0.6461365389041683,0.22724554792634327,0.6817575022065314,0.6541186204043643
direct_logistic,k30_hl90,30.0,90.0,3.0,0.6461844421626199,0.22726614189673666,0.6820433611695749,0.6541186204043643
direct_logistic,k30_hl20,30.0,20.0,10.0,0.6462486895044375,0.22730637050509048,0.681139814877679,0.6579967940431253
direct_logistic,k30_hl45,30.0,45.0,10.0,0.6465059922097023,0.22741859190088315,0.6803795516780955,0.6541186204043643
direct_logistic,k30_hl90,30.0,90.0,10.0,0.6465510296266566,0.22743823131615135,0.6806035994749587,0.6541186204043643
