candidate,model_type,architecture,elo_k,elo_hfa,trend_half_life_days,feature_set,n_features,logistic_c,prequential_games,prequential_log_loss,prequential_brier,prequential_auc,prequential_accuracy
k30_hfa50_hl20|core_schedule|C0.01,direct_logistic,k30_hfa50_hl20,30.0,50.0,20.0,core_schedule,5,0.01,399,0.6446567319198128,0.22650361235833025,0.6866190092629884,0.6365914786967418
k30_hfa80_hl45|core_schedule|C0.1,direct_logistic,k30_hfa80_hl45,30.0,80.0,45.0,core_schedule,5,0.1,399,0.6446829042330344,0.2266356378327074,0.6768525976641161,0.6466165413533834
k30_hfa50_hl45|elo_bt_trend|C0.3,direct_logistic,k30_hfa50_hl45,30.0,50.0,45.0,elo_bt_trend,3,0.3,399,0.6447174306956857,0.22651411977482686,0.6776832460732984,0.6365914786967418
k30_hfa65_hl45|elo_bt_trend|C0.3,direct_logistic,k30_hfa65_hl45,30.0,65.0,45.0,elo_bt_trend,3,0.3,399,0.6447690795457859,0.2265409925658054,0.6782873540072493,0.6466165413533834
k30_hfa50_hl20|rich|C3.0,direct_logistic,k30_hfa50_hl20,30.0,50.0,20.0,rich,9,3.0,399,0.6448029676825962,0.22597304740386995,0.6896143777688281,0.656641604010025
k20_hfa50_hl20|rich|C3.0,direct_logistic,k20_hfa50_hl20,20.0,50.0,20.0,rich,9,3.0,399,0.6448054179346819,0.22599306157971405,0.6890606121627065,0.6516290726817042
k30_hfa80_hl45|elo_bt_trend|C0.3,direct_logistic,k30_hfa80_hl45,30.0,80.0,45.0,elo_bt_trend,3,0.3,399,0.6448089894984647,0.22656079617652258,0.6789921465968586,0.6491228070175439
k20_hfa65_hl20|rich|C3.0,direct_logistic,k20_hfa65_hl20,20.0,65.0,20.0,rich,9,3.0,399,0.6448140381905021,0.22601214017146642,0.6883306484091825,0.6541353383458647
k20_hfa80_hl20|rich|C3.0,direct_logistic,k20_hfa80_hl20,20.0,80.0,20.0,rich,9,3.0,399,0.6448148257901272,0.22602680108089213,0.6879279097865485,0.6516290726817042
k30_hfa50_hl20|elo_bt_trend|C0.3,direct_logistic,k30_hfa50_hl20,30.0,50.0,20.0,elo_bt_trend,3,0.3,399,0.6448286244395561,0.22655804765234724,0.6773056786145791,0.6365914786967418
k30_hfa80_hl45|core_schedule|C0.01,direct_logistic,k30_hfa80_hl45,30.0,80.0,45.0,core_schedule,5,0.01,399,0.6448455872989755,0.22659956207004842,0.6857128473620621,0.6365914786967418
k20_hfa80_hl45|elo_bt_trend|C3.0,direct_logistic,k20_hfa80_hl45,20.0,80.0,45.0,elo_bt_trend,3,3.0,399,0.6448461175732956,0.22647558455353664,0.6787404349577124,0.6416040100250626
k30_hfa65_hl45|core_schedule|C0.01,direct_logistic,k30_hfa65_hl45,30.0,65.0,45.0,core_schedule,5,0.01,399,0.6448538159636895,0.22660139082430944,0.6857380185259767,0.6365914786967418
k30_hfa50_hl45|core_schedule|C0.01,direct_logistic,k30_hfa50_hl45,30.0,50.0,45.0,core_schedule,5,0.01,399,0.6448598976248375,0.22660169227080812,0.6857883608538058,0.6365914786967418
k30_hfa65_hl20|rich|C3.0,direct_logistic,k30_hfa65_hl20,30.0,65.0,20.0,rich,9,3.0,399,0.644862391476877,0.2260133467430297,0.6894633507853404,0.6541353383458647
k30_hfa65_hl20|elo_bt_trend|C0.3,direct_logistic,k30_hfa65_hl20,30.0,65.0,20.0,elo_bt_trend,3,0.3,399,0.6448666840475376,0.22657828022127013,0.6779601288763593,0.6441102756892231
k30_hfa50_hl20|elo_bt|C1.0,direct_logistic,k30_hfa50_hl20,30.0,50.0,,elo_bt,2,1.0,399,0.6448797643100735,0.22662707531660012,0.676449859041482,0.6215538847117794
k30_hfa80_hl20|elo_bt_trend|C0.3,direct_logistic,k30_hfa80_hl20,30.0,80.0,20.0,elo_bt_trend,3,0.3,399,0.6448893031629649,0.22658968724776568,0.6787152637937978,0.6491228070175439
k20_hfa80_hl20|elo_bt_trend|C3.0,direct_logistic,k20_hfa80_hl20,20.0,80.0,20.0,elo_bt_trend,3,3.0,399,0.6448909784986637,0.22648547121805473,0.6791180024164317,0.6441102756892231
k30_hfa50_hl20|rich|C10.0,direct_logistic,k30_hfa50_hl20,30.0,50.0,20.0,rich,9,10.0,399,0.6449067883091862,0.2260218700935737,0.6894633507853404,0.6491228070175439
k30_hfa80_hl20|rich|C3.0,direct_logistic,k30_hfa80_hl20,30.0,80.0,20.0,rich,9,3.0,399,0.6449211945388494,0.2260526084781649,0.6889850986709627,0.6541353383458647
k30_hfa65_hl20|elo_bt|C1.0,direct_logistic,k30_hfa65_hl20,30.0,65.0,,elo_bt,2,1.0,399,0.6449378592146602,0.22665519007854382,0.6762988320579943,0.6265664160401002
k20_hfa50_hl20|rich|C10.0,direct_logistic,k20_hfa50_hl20,20.0,50.0,20.0,rich,9,10.0,399,0.6449498271145143,0.22606288415611797,0.6889095851792187,0.6491228070175439
k20_hfa65_hl20|rich|C10.0,direct_logistic,k20_hfa65_hl20,20.0,65.0,20.0,rich,9,10.0,399,0.644961896827268,0.22608404440663984,0.6882803060813533,0.6541353383458647
k20_hfa65_hl45|elo_bt_trend|C3.0,direct_logistic,k20_hfa65_hl45,20.0,65.0,45.0,elo_bt_trend,3,3.0,399,0.644963836235699,0.22653073062559015,0.6786649214659687,0.6365914786967418
k20_hfa80_hl20|rich|C10.0,direct_logistic,k20_hfa80_hl20,20.0,80.0,20.0,rich,9,10.0,399,0.6449660113420547,0.22610071943181656,0.68782722513089,0.6491228070175439
k30_hfa65_hl20|rich|C10.0,direct_logistic,k30_hfa65_hl20,30.0,65.0,20.0,rich,9,10.0,399,0.6449680988030024,0.22606337292477482,0.6892116391461941,0.6541353383458647
k30_hfa80_hl20|elo_bt|C1.0,direct_logistic,k30_hfa80_hl20,30.0,80.0,,elo_bt,2,1.0,399,0.6449738270949457,0.226670807354623,0.6758457511075313,0.6240601503759399
k20_hfa65_hl20|elo_bt_trend|C3.0,direct_logistic,k20_hfa65_hl20,20.0,65.0,20.0,elo_bt_trend,3,3.0,399,0.6450269941009834,0.22654904554999908,0.6782873540072494,0.6390977443609023
k30_hfa80_hl20|rich|C10.0,direct_logistic,k30_hfa80_hl20,30.0,80.0,20.0,rich,9,10.0,399,0.6450290071982979,0.22610393963105094,0.6889347563431334,0.6541353383458647
k20_hfa50_hl45|elo_bt_trend|C3.0,direct_logistic,k20_hfa50_hl45,20.0,50.0,45.0,elo_bt_trend,3,3.0,399,0.645052452570592,0.2265697605940186,0.6786900926298832,0.6365914786967418
k20_hfa80_hl45|elo_bt_trend|C10.0,direct_logistic,k20_hfa80_hl45,20.0,80.0,45.0,elo_bt_trend,3,10.0,399,0.6451037877755696,0.22659518098554982,0.6781866693515908,0.6390977443609023
k20_hfa50_hl20|elo_bt_trend|C3.0,direct_logistic,k20_hfa50_hl20,20.0,50.0,20.0,elo_bt_trend,3,3.0,399,0.6451288193544841,0.2265940335915045,0.6780608135320176,0.6290726817042607
k20_hfa80_hl20|elo_bt_trend|C10.0,direct_logistic,k20_hfa80_hl20,20.0,80.0,20.0,elo_bt_trend,3,10.0,399,0.6451579709609092,0.2266091950300866,0.6782370116794201,0.6416040100250626
k20_hfa65_hl45|elo_bt_trend|C10.0,direct_logistic,k20_hfa65_hl45,20.0,65.0,45.0,elo_bt_trend,3,10.0,399,0.6452211920893867,0.2266505240072607,0.6783628674989932,0.6416040100250626
k30_hfa50_hl20|elo_bt|C3.0,direct_logistic,k30_hfa50_hl20,30.0,50.0,,elo_bt,2,3.0,399,0.6452813309591547,0.22681501355626943,0.6754933548127264,0.6240601503759399
k20_hfa65_hl20|elo_bt_trend|C10.0,direct_logistic,k20_hfa65_hl20,20.0,65.0,20.0,elo_bt_trend,3,10.0,399,0.645292859185727,0.22667253225276615,0.6779097865485301,0.6390977443609023
k20_hfa50_hl45|elo_bt_trend|C10.0,direct_logistic,k20_hfa50_hl45,20.0,50.0,45.0,elo_bt_trend,3,10.0,399,0.6453073906043825,0.22668875434105007,0.6784635521546516,0.6340852130325815
k30_hfa65_hl20|elo_bt|C3.0,direct_logistic,k30_hfa65_hl20,30.0,65.0,,elo_bt,2,3.0,399,0.6453500835282623,0.22684791780973326,0.6756443817962143,0.6265664160401002
k20_hfa50_hl20|elo_bt_trend|C10.0,direct_logistic,k20_hfa50_hl20,20.0,50.0,20.0,elo_bt_trend,3,10.0,399,0.6453915435391986,0.2267163252553752,0.6777839307289568,0.6340852130325815
k30_hfa80_hl20|elo_bt|C3.0,direct_logistic,k30_hfa80_hl20,30.0,80.0,,elo_bt,2,3.0,399,0.6453951247837348,0.2268675734803728,0.6749899315344342,0.6290726817042607
k30_hfa50_hl20|elo_bt|C10.0,direct_logistic,k30_hfa50_hl20,30.0,50.0,,elo_bt,2,10.0,399,0.6454342692274684,0.22688645923974127,0.6750906161900927,0.6240601503759399
k30_hfa65_hl20|elo_bt|C10.0,direct_logistic,k30_hfa65_hl20,30.0,65.0,,elo_bt,2,10.0,399,0.6455072567840886,0.22692125987359207,0.675065445026178,0.6290726817042607
k30_hfa80_hl20|elo_bt|C10.0,direct_logistic,k30_hfa80_hl20,30.0,80.0,,elo_bt,2,10.0,399,0.6455559308658785,0.2269425276224548,0.674738219895288,0.6265664160401002
k30_hfa50_hl45|elo_bt_trend|C1.0,direct_logistic,k30_hfa50_hl45,30.0,50.0,45.0,elo_bt_trend,3,1.0,399,0.6458306428466813,0.22703931676086872,0.6760974627466775,0.6390977443609023
k30_hfa65_hl45|elo_bt_trend|C1.0,direct_logistic,k30_hfa65_hl45,30.0,65.0,45.0,elo_bt_trend,3,1.0,399,0.6459007698117405,0.2270741387966656,0.6761729762384214,0.6441102756892231
k30_hfa80_hl45|elo_bt_trend|C1.0,direct_logistic,k30_hfa80_hl45,30.0,80.0,45.0,elo_bt_trend,3,1.0,399,0.6459534924216496,0.22709920803533346,0.6756947241240435,0.6491228070175439
k20_hfa80_hl45|core_schedule|C1.0,direct_logistic,k20_hfa80_hl45,20.0,80.0,45.0,core_schedule,5,1.0,399,0.6459565441457442,0.22719752812513117,0.674662706403544,0.6441102756892231
k30_hfa50_hl20|elo_bt_trend|C1.0,direct_logistic,k30_hfa50_hl20,30.0,50.0,20.0,elo_bt_trend,3,1.0,399,0.6459629669476322,0.2270900304897134,0.6753171566653242,0.6340852130325815
k20_hfa80_hl20|core_schedule|C1.0,direct_logistic,k20_hfa80_hl20,20.0,80.0,20.0,core_schedule,5,1.0,399,0.6459670326577687,0.22719451993256545,0.674008256141764,0.6390977443609023
k30_hfa65_hl20|elo_bt_trend|C1.0,direct_logistic,k30_hfa65_hl20,30.0,65.0,20.0,elo_bt_trend,3,1.0,399,0.6460225214362714,0.22711977009874965,0.675996778091019,0.6390977443609023
k30_hfa80_hl20|elo_bt_trend|C1.0,direct_logistic,k30_hfa80_hl20,30.0,80.0,20.0,elo_bt_trend,3,1.0,399,0.6460614952059075,0.2271382490151904,0.6762988320579943,0.6390977443609023
k20_hfa65_hl45|core_schedule|C1.0,direct_logistic,k20_hfa65_hl45,20.0,65.0,45.0,core_schedule,5,1.0,399,0.6460634116798423,0.22724583752945726,0.6743103101087394,0.6340852130325815
k20_hfa65_hl20|core_schedule|C1.0,direct_logistic,k20_hfa65_hl20,20.0,65.0,20.0,core_schedule,5,1.0,399,0.6460936700661699,0.22725191004723685,0.6740837696335078,0.631578947368421
k20_hfa50_hl45|core_schedule|C1.0,direct_logistic,k20_hfa50_hl45,20.0,50.0,45.0,core_schedule,5,1.0,399,0.6461453214201774,0.22727958392836922,0.6740585984695933,0.6365914786967418
k20_hfa50_hl20|core_schedule|C1.0,direct_logistic,k20_hfa50_hl20,20.0,50.0,20.0,core_schedule,5,1.0,399,0.6461902562652471,0.22729226902303995,0.6739075714861056,0.631578947368421
k30_hfa50_hl45|elo_bt_trend|C3.0,direct_logistic,k30_hfa50_hl45,30.0,50.0,45.0,elo_bt_trend,3,3.0,399,0.6462625119043531,0.2272418450078086,0.6751661296818365,0.6416040100250626
k30_hfa65_hl45|elo_bt_trend|C3.0,direct_logistic,k30_hfa65_hl45,30.0,65.0,45.0,elo_bt_trend,3,3.0,399,0.6463403968727102,0.2272799686541749,0.6753926701570679,0.6390977443609023
