calibration_bin,games,mean_probability,observed_home_win_rate,minimum_probability,maximum_probability
"(0.0815, 0.205]",12,0.15347991837943134,0.08333333333333333,0.08251204702842162,0.2000713977971294
"(0.205, 0.32]",12,0.27192073119730437,0.16666666666666666,0.20596642000491241,0.3104108767715629
"(0.32, 0.431]",12,0.3769772602385359,0.5,0.3236000385631137,0.42999516802896387
"(0.431, 0.566]",12,0.4914166756662801,0.5,0.4317258435883438,0.5640805170705868
"(0.566, 0.677]",12,0.6250523828003648,0.8333333333333334,0.5671793996735971,0.6746366074553184
"(0.677, 0.784]",12,0.7273289463010748,0.8333333333333334,0.6803855265120571,0.7826175038185172
"(0.784, 0.864]",12,0.8384746685134031,0.9166666666666666,0.7891476488831319,0.8630883091595405
"(0.864, 0.965]",12,0.9113472670668302,0.9166666666666666,0.8678224442584699,0.9652282899028878
