probability_range,games,mean_prediction,actual_home_win_rate
0.00-0.10,1,0.08251204702842162,0.0
0.10-0.25,15,0.17688778804182492,0.06666666666666667
0.25-0.75,52,0.4987113460303748,0.5961538461538461
0.75-0.90,20,0.8332450069711094,0.85
0.90-1.00,8,0.9272819001626531,1.0
