calibration_bin,games,mean_probability,observed_home_win_rate,minimum_probability,maximum_probability
"(0.0707, 0.256]",30,0.17608178173364702,0.06666666666666667,0.07170783927342966,0.2536448119872126
"(0.256, 0.388]",30,0.30996947413974907,0.2,0.2571701273907796,0.38770900223752164
"(0.388, 0.487]",30,0.4326162018686073,0.5666666666666667,0.3884371026131601,0.4864254766178597
"(0.487, 0.569]",30,0.5303516846943189,0.7666666666666667,0.4873464788064447,0.5687801335607086
"(0.569, 0.667]",29,0.6219296915803251,0.6206896551724138,0.5716026259293693,0.6664176843120325
"(0.667, 0.733]",30,0.6984569387187366,0.8333333333333334,0.6666470021605401,0.7330503636749454
"(0.733, 0.797]",30,0.7640347051413925,0.9,0.7333760543560643,0.7964839703707088
"(0.797, 0.942]",30,0.852730085266989,0.8666666666666667,0.8001059649484671,0.9420741091986079
